Date,Open,High,Low,Close,Adj Close,Volume
15-04-2019,11000,11089,10891.04981,10970.09961,10220.23438,84735
16-04-2019,11000,11218.9502,10995,11155.79981,10393.24219,89355
18-04-2019,11186.40039,11239.9502,10925,10954.4502,10205.6582,56399
22-04-2019,10965,11125,10851.54981,10879.90039,10136.20313,31883
23-04-2019,10940,10979,10872,10910.2002,10164.43262,25119
24-04-2019,10907.5,11029.54981,10705,10833.40039,10092.87988,76358
25-04-2019,10890,10990,10780,10846.4502,10105.03906,90249
26-04-2019,10851,11049.2002,10822.04981,10971.25,10221.30859,51412
30-04-2019,10900,10974.9502,10854.7002,10905.29981,10183.06836,74238
02-05-2019,10905,10905,10403.04981,10589.7002,9911.09375,44249
03-05-2019,10650,10650,10380,10485.7002,9813.757813,115448
06-05-2019,10400,10497.09961,10305.04981,10364,9721.177734,90136
07-05-2019,10401.5,10589.9502,10401,10477.09961,9827.261719,72631
08-05-2019,10487.75,10536,10275.7002,10298.34961,9659.598633,46391
09-05-2019,10295,10409,10200,10362.2002,9719.488281,46552
10-05-2019,10371.90039,10435.65039,10171.04981,10231.15039,9596.569336,61273
13-05-2019,10262,10433.25,10232.25,10300.04981,9661.193359,48042
14-05-2019,10310,10364.40039,10120.04981,10198.65039,9566.083984,54275
15-05-2019,10401,10509,10211,10268.54981,9631.647461,127190
16-05-2019,10332.7002,10401,10255.04981,10280.54981,9642.904297,39322
17-05-2019,10299.9502,10546.2002,10256.84961,10465.65039,9816.524414,65704
20-05-2019,10680,10832,10560.34961,10768.15039,10100.26074,49555
21-05-2019,10849.9502,10884.7002,10493.9502,10609.2002,9951.171875,47182
22-05-2019,10650.04981,10784.2002,10600,10700.54981,10036.85352,31497
23-05-2019,10848,10989,10680,10797.04981,10127.36816,56257
24-05-2019,10813,10849.90039,10592.29981,10660.04981,9998.865234,49465
27-05-2019,10750,11083,10700,11036.25,10351.7334,84400
28-05-2019,11040,11165,10950,11105.2002,10416.40625,133445
29-05-2019,11125,11295.9502,10987.4502,11206,10510.95313,128654
30-05-2019,11175.25,11345,11170,11320.5,10618.35254,93421
31-05-2019,11350,11540,11303.4502,11498.09961,10784.93457,70172
03-06-2019,11498.59961,11700,11498.59961,11686.4502,10961.60059,64302
04-06-2019,11600,11698,11428,11552.34961,10835.82031,96144
06-06-2019,11552.34961,11684,11530,11603.29981,10883.61035,82658
07-06-2019,11610,11628,11451,11503.84961,10790.33008,43726
10-06-2019,11607.09961,11729,11376,11698.40039,10972.81445,48341
11-06-2019,11755,11817.7002,11498.09961,11622.9502,10902.04102,72286
12-06-2019,11674,11715,11505,11695.5,10970.09277,43374
13-06-2019,11620,11661.54981,11570.04981,11613.75,10893.41309,69156
14-06-2019,11615.5,11723.65039,11451,11489,10776.40137,40564
17-06-2019,11559,11629.65039,11425.65039,11480.84961,10768.75586,45786
18-06-2019,11505.04981,11551.9502,11300,11457.59961,10746.94727,55529
19-06-2019,11478.90039,11650.5,11450,11611.7002,10891.49023,69510
20-06-2019,11613.04981,11759,11474.2002,11718.04981,10991.24316,65396
21-06-2019,11710,11790,11539.15039,11600.90039,10881.36035,111980
24-06-2019,11600,11760,11550.15039,11712,10985.56738,24222
25-06-2019,11680.04981,11737.25,11613.4502,11705.84961,10979.80078,37748
26-06-2019,11706,11950,11680.79981,11802.5,11070.45508,143213
27-06-2019,11810.29981,11866.90039,11684.4502,11802.84961,11070.78418,93927
28-06-2019,11762,11940,11755,11912.59961,11173.72656,57069
01-07-2019,11984,12023.25,11823.65039,11868.75,11132.59668,40901
02-07-2019,11860,12004.9502,11801,11964.84961,11222.73633,66647
03-07-2019,11964,11998.54981,11779.9502,11819.15039,11086.07324,63152
04-07-2019,11810,11970,11799.9502,11884.4502,11147.32227,23714
05-07-2019,11929.9502,12000,11840,11956.90039,11215.2793,35376
08-07-2019,11929,11929,11752,11801.4502,11069.4707,45507
09-07-2019,11819.79981,11824,11630,11687.04981,10962.16504,61843
10-07-2019,11715,11795,11530,11550.4502,10834.04004,44237
11-07-2019,11624.04981,11624.04981,11471.5,11506.79981,10793.09668,46492
12-07-2019,11507,11718,11507,11672.15039,10948.19043,27605
15-07-2019,11689,11689,11465.59961,11484.4502,10772.13379,19432
16-07-2019,11632,11741.9502,11487.09961,11708.65039,10982.42773,42449
17-07-2019,11706,11749.79981,11602.5,11695.40039,10969.99707,24922
18-07-2019,11726.79981,11743.59961,11542.5,11596.75,10877.4668,47394
19-07-2019,11649.90039,11725,11512.29981,11547.04981,10830.84961,86677
22-07-2019,11508.04981,11562.54981,11265,11304.7002,10603.53125,47464
23-07-2019,11305,11693,11305,11470.75,10759.28223,61563
24-07-2019,11500,11619.75,11298.75,11479.90039,10767.86523,49740
25-07-2019,11509,11666.84961,11440,11495,10782.02734,53885
26-07-2019,11525,11671.4502,11470,11623.25,10902.32422,30544
29-07-2019,11600,11690,11479.25,11620.25,10899.50879,46052
30-07-2019,11673.84961,11690.54981,11500,11536.54981,10821.00195,34459
31-07-2019,11500.04981,11740,11401,11675.90039,10951.70996,46971
01-08-2019,11664,11664,11445,11547,10830.80273,34623
02-08-2019,11425,11536.15039,11322.4502,11411.5,10703.70703,56548
05-08-2019,11528,11950,11490,11712.79981,10986.31934,122980
06-08-2019,11710,11998,11701.04981,11837.54981,11103.33203,85992
07-08-2019,11790,11909.65039,11732.15039,11777.4502,11046.96094,46996
08-08-2019,11800,11930,11775,11840.25,11105.86426,36614
09-08-2019,11780,12268.5,11700,11993.29981,11423.0791,116548
13-08-2019,11962.2002,12192.9502,11820.04981,11893.4502,11327.97559,77413
